,system,doc,doc_id,seg_id,rater,src,mt,ref,score,zscore
2022,eTranslation,cnbc.com.58093,4,156,rater1,Human rights group Amnesty International analyzed 500 videos from protests from May 26 through June 5 and found 125 incidents of excessive force across 40 states and the District of Columbia.,Die Menschenrechtsgruppe Amnesty International analysierte 500 Videos von Protesten vom 26. Mai bis 5. Juni und fand 125 Vorfälle exzessiver Gewalt in 40 Bundesstaaten und dem District of Columbia.,"Die Menschenrechtsorganisation Amnesty International untersuchte 500 Videoaufnahmen von Demonstrationen, die zwischen dem 26. Mai und dem 5. Juni stattfanden, und registrierte 125 Fälle übermäßiger Gewalt in 40 Saaten und dem District von Columbia.",0,0.31342974724568423
2023,metricsystem1,cnbc.com.58093,4,156,rater7,Human rights group Amnesty International analyzed 500 videos from protests from May 26 through June 5 and found 125 incidents of excessive force across 40 states and the District of Columbia.,Die Menschenrechtsgruppe Amnesty International analysierte 500 Videos von Protesten vom 26. Mai bis 5. Juni und fand 125 Vorfälle übermäßiger Gewalt in 40 Bundesstaaten und im District of Columbia.,"Die Menschenrechtsorganisation Amnesty International untersuchte 500 Videoaufnahmen von Demonstrationen, die zwischen dem 26. Mai und dem 5. Juni stattfanden, und registrierte 125 Fälle übermäßiger Gewalt in 40 Saaten und dem District von Columbia.",0,1.0346245005665877
2024,metricsystem2,cnbc.com.58093,4,156,rater6,Human rights group Amnesty International analyzed 500 videos from protests from May 26 through June 5 and found 125 incidents of excessive force across 40 states and the District of Columbia.,Die Menschenrechtsgruppe Amnesty International analysierte vom 26. Mai bis 5. Juni 500 Videos von Protesten und fand 125 Fälle übermäßiger Gewalt in 40 Bundesstaaten und im District of Columbia.,"Die Menschenrechtsorganisation Amnesty International untersuchte 500 Videoaufnahmen von Demonstrationen, die zwischen dem 26. Mai und dem 5. Juni stattfanden, und registrierte 125 Fälle übermäßiger Gewalt in 40 Saaten und dem District von Columbia.",0,0.6319180223880377
2025,metricsystem3,cnbc.com.58093,4,156,rater12,Human rights group Amnesty International analyzed 500 videos from protests from May 26 through June 5 and found 125 incidents of excessive force across 40 states and the District of Columbia.,Die Menschenrechtsgruppe Amnesty International analysierte 500 Videos von Protesten vom 26. Mai bis 5. Juni und fand 125 Fälle übermäßiger Gewalt in 40 Bundesstaaten und im District of Columbia.,"Die Menschenrechtsorganisation Amnesty International untersuchte 500 Videoaufnahmen von Demonstrationen, die zwischen dem 26. Mai und dem 5. Juni stattfanden, und registrierte 125 Fälle übermäßiger Gewalt in 40 Saaten und dem District von Columbia.",-1,0.32786813318852326
2026,metricsystem4,cnbc.com.58093,4,156,rater6,Human rights group Amnesty International analyzed 500 videos from protests from May 26 through June 5 and found 125 incidents of excessive force across 40 states and the District of Columbia.,Die Menschenrechtsgruppe Amnesty International analysierte 500 Videos von Protesten vom 26. Mai bis 5. Juni und fand 125 Vorfälle exzessiver Gewalt in 40 Bundesstaaten und im District of Columbia.,"Die Menschenrechtsorganisation Amnesty International untersuchte 500 Videoaufnahmen von Demonstrationen, die zwischen dem 26. Mai und dem 5. Juni stattfanden, und registrierte 125 Fälle übermäßiger Gewalt in 40 Saaten und dem District von Columbia.",0,0.6319180223880377
2027,metricsystem5,cnbc.com.58093,4,156,rater8,Human rights group Amnesty International analyzed 500 videos from protests from May 26 through June 5 and found 125 incidents of excessive force across 40 states and the District of Columbia.,Die Menschenrechtsgruppe Amnesty International analysierte 500 Videos von Protesten vom 26. Mai bis zum 5. Juni und fand 125 Vorfälle übermäßiger Gewalt in 40 Bundesstaaten und im District of Columbia.,"Die Menschenrechtsorganisation Amnesty International untersuchte 500 Videoaufnahmen von Demonstrationen, die zwischen dem 26. Mai und dem 5. Juni stattfanden, und registrierte 125 Fälle übermäßiger Gewalt in 40 Saaten und dem District von Columbia.",0,0.9819526788517907
2028,Facebook-AI,cnbc.com.58093,5,157,rater6,"""We saw a misuse of tear gas, pepper spray, pepper balls, 40 millimeter impact rounds, basically every combination of less-lethal weapon being used in inappropriate ways,"" said Amnesty International weapons investigator Brian Castner.","„Wir sahen einen Missbrauch von Tränengas, Pfefferspray, Pfefferkugeln, 40-Millimeter-Aufprallgeschossen, im Grunde jede Kombination von weniger tödlichen Waffen, die auf unangemessene Weise eingesetzt wurden“, sagte der Waffenermittler von Amnesty International, Brian Castner.","„Wir beobachteten den Missbrauch von Tränengas, Pfefferspray, Pfefferkugeln, 40-Millimeter-Geschossen, d.h. die zweckwidrige Verwendung praktisch aller weniger tödlichen Waffen“, berichtete Brian Castner, Waffenermittler von Amnesty International.",0,0.6319180223880377
2029,HuaweiTSC,cnbc.com.58093,5,157,rater4,"""We saw a misuse of tear gas, pepper spray, pepper balls, 40 millimeter impact rounds, basically every combination of less-lethal weapon being used in inappropriate ways,"" said Amnesty International weapons investigator Brian Castner.","„Wir sahen einen Missbrauch von Tränengas, Pfefferspray, Pfefferkugeln, 40-Millimeter-Einschlagskugeln, im Grunde jede Kombination von weniger tödlichen Waffen, die auf unangemessene Weise eingesetzt wurden“, sagte Brian Castner, Waffenermittler von Amnesty International.","„Wir beobachteten den Missbrauch von Tränengas, Pfefferspray, Pfefferkugeln, 40-Millimeter-Geschossen, d.h. die zweckwidrige Verwendung praktisch aller weniger tödlichen Waffen“, berichtete Brian Castner, Waffenermittler von Amnesty International.",-12,-4.279818682278361
2030,Nemo,cnbc.com.58093,5,157,rater2,"""We saw a misuse of tear gas, pepper spray, pepper balls, 40 millimeter impact rounds, basically every combination of less-lethal weapon being used in inappropriate ways,"" said Amnesty International weapons investigator Brian Castner.","„Wir sahen einen Missbrauch von Tränengas, Pfefferspray, Pfefferkugeln, 40-Millimeter-Einschlaggeschossen, praktisch jede Kombination von weniger tödlichen Waffen, die auf unangemessene Weise eingesetzt wurde“, sagte der Waffenermittler von Amnesty International, Brian Castner.","„Wir beobachteten den Missbrauch von Tränengas, Pfefferspray, Pfefferkugeln, 40-Millimeter-Geschossen, d.h. die zweckwidrige Verwendung praktisch aller weniger tödlichen Waffen“, berichtete Brian Castner, Waffenermittler von Amnesty International.",0,0.5824308458428316
2031,Online-W,cnbc.com.58093,5,157,rater11,"""We saw a misuse of tear gas, pepper spray, pepper balls, 40 millimeter impact rounds, basically every combination of less-lethal weapon being used in inappropriate ways,"" said Amnesty International weapons investigator Brian Castner.","""Wir sahen einen Missbrauch von Tränengas, Pfefferspray, Pfefferkugeln, 40-Millimeter-Schlaggeschosse, im Grunde jede Kombination von weniger tödlichen Waffen, die in unangemessener Weise verwendet werden"", sagte Amnesty International Waffen Ermittler Brian Castner.","„Wir beobachteten den Missbrauch von Tränengas, Pfefferspray, Pfefferkugeln, 40-Millimeter-Geschossen, d.h. die zweckwidrige Verwendung praktisch aller weniger tödlichen Waffen“, berichtete Brian Castner, Waffenermittler von Amnesty International.",0,0.6970675701829652
2032,UEdin,cnbc.com.58093,5,157,rater1,"""We saw a misuse of tear gas, pepper spray, pepper balls, 40 millimeter impact rounds, basically every combination of less-lethal weapon being used in inappropriate ways,"" said Amnesty International weapons investigator Brian Castner.","„Wir sahen einen Missbrauch von Tränengas, Pfefferspray, Pfefferbällen, 40-Millimeter-Einschlagsrunden, im Grunde jede Kombination von weniger tödlichen Waffen, die auf unangemessene Weise verwendet wurden“, sagte Brian Castner, Waffenermittler von Amnesty International.","„Wir beobachteten den Missbrauch von Tränengas, Pfefferspray, Pfefferkugeln, 40-Millimeter-Geschossen, d.h. die zweckwidrige Verwendung praktisch aller weniger tödlichen Waffen“, berichtete Brian Castner, Waffenermittler von Amnesty International.",0,0.31342974724568423
2033,VolcTrans-AT,cnbc.com.58093,5,157,rater2,"""We saw a misuse of tear gas, pepper spray, pepper balls, 40 millimeter impact rounds, basically every combination of less-lethal weapon being used in inappropriate ways,"" said Amnesty International weapons investigator Brian Castner.","„Wir sahen einen Missbrauch von Tränengas, Pfefferspray, Pfefferkugeln, 40-Millimeter-Aufprallrunden, im Grunde jede Kombination von weniger tödlichen Waffen, die auf unangemessene Weise verwendet wurden“, sagte Brian Castner, Waffenermittler von Amnesty International.","„Wir beobachteten den Missbrauch von Tränengas, Pfefferspray, Pfefferkugeln, 40-Millimeter-Geschossen, d.h. die zweckwidrige Verwendung praktisch aller weniger tödlichen Waffen“, berichtete Brian Castner, Waffenermittler von Amnesty International.",0,0.5824308458428316
2034,VolcTrans-GLAT,cnbc.com.58093,5,157,rater6,"""We saw a misuse of tear gas, pepper spray, pepper balls, 40 millimeter impact rounds, basically every combination of less-lethal weapon being used in inappropriate ways,"" said Amnesty International weapons investigator Brian Castner.","„Wir sahen einen Missbrauch von Tränengas, Pfefferspray, Pfefferkugeln, 40-Millimeter-Schlaggeschossen, im Grunde jede Kombination von weniger tödlichen Waffen, die in unangemessener Weise eingesetzt wurden“, sagte der Waffenermittler von Amnesty International, Brian Castner.","„Wir beobachteten den Missbrauch von Tränengas, Pfefferspray, Pfefferkugeln, 40-Millimeter-Geschossen, d.h. die zweckwidrige Verwendung praktisch aller weniger tödlichen Waffen“, berichtete Brian Castner, Waffenermittler von Amnesty International.",0,0.6319180223880377
2035,eTranslation,cnbc.com.58093,5,157,rater1,"""We saw a misuse of tear gas, pepper spray, pepper balls, 40 millimeter impact rounds, basically every combination of less-lethal weapon being used in inappropriate ways,"" said Amnesty International weapons investigator Brian Castner.","„Wir sahen einen Missbrauch von Tränengas, Pfefferspray, Pfefferkugeln, 40-Millimeter-Einschlagskugeln, im Grunde jede Kombination von weniger tödlichen Waffen, die auf unangemessene Weise verwendet wurden“, sagte Amnesty International-Waffenermittler Brian Castner.","„Wir beobachteten den Missbrauch von Tränengas, Pfefferspray, Pfefferkugeln, 40-Millimeter-Geschossen, d.h. die zweckwidrige Verwendung praktisch aller weniger tödlichen Waffen“, berichtete Brian Castner, Waffenermittler von Amnesty International.",0,0.31342974724568423
2036,metricsystem1,cnbc.com.58093,5,157,rater7,"""We saw a misuse of tear gas, pepper spray, pepper balls, 40 millimeter impact rounds, basically every combination of less-lethal weapon being used in inappropriate ways,"" said Amnesty International weapons investigator Brian Castner.","""Wir haben gesehen, wie Tränengas, Pfefferspray, Pfefferkugeln, 40-Millimeter-Einschlaggeschosse missbraucht wurden, praktisch jede Kombination von weniger tödlichen Waffen, die auf unangemessene Weise eingesetzt wurden"", sagte der Waffenermittler von Amnesty International, Brian Castner.","„Wir beobachteten den Missbrauch von Tränengas, Pfefferspray, Pfefferkugeln, 40-Millimeter-Geschossen, d.h. die zweckwidrige Verwendung praktisch aller weniger tödlichen Waffen“, berichtete Brian Castner, Waffenermittler von Amnesty International.",-15.1,-2.063387105945829
2037,metricsystem2,cnbc.com.58093,5,157,rater6,"""We saw a misuse of tear gas, pepper spray, pepper balls, 40 millimeter impact rounds, basically every combination of less-lethal weapon being used in inappropriate ways,"" said Amnesty International weapons investigator Brian Castner.","""Wir haben einen Missbrauch von Tränengas, Pfefferspray, Pfefferkugeln und 40-Millimeter-Aufprallgeschossen gesehen. Grundsätzlich wurde jede Kombination weniger tödlicher Waffen auf unangemessene Weise eingesetzt"", sagte Brian Castner, Waffenermittler bei Amnesty International.","„Wir beobachteten den Missbrauch von Tränengas, Pfefferspray, Pfefferkugeln, 40-Millimeter-Geschossen, d.h. die zweckwidrige Verwendung praktisch aller weniger tödlichen Waffen“, berichtete Brian Castner, Waffenermittler von Amnesty International.",-1,-0.25943502882509867
2038,metricsystem3,cnbc.com.58093,5,157,rater12,"""We saw a misuse of tear gas, pepper spray, pepper balls, 40 millimeter impact rounds, basically every combination of less-lethal weapon being used in inappropriate ways,"" said Amnesty International weapons investigator Brian Castner.","""Wir haben einen Missbrauch von Tränengas, Pfefferspray, Pfefferkugeln und 40-Millimeter-Schuss gesehen, bei dem praktisch jede Kombination von weniger tödlichen Waffen auf unangemessene Weise eingesetzt wurde"", sagte Brian Castner, der Ermittler von Amnesty International.","„Wir beobachteten den Missbrauch von Tränengas, Pfefferspray, Pfefferkugeln, 40-Millimeter-Geschossen, d.h. die zweckwidrige Verwendung praktisch aller weniger tödlichen Waffen“, berichtete Brian Castner, Waffenermittler von Amnesty International.",0,0.6709260738824433
2039,metricsystem4,cnbc.com.58093,5,157,rater6,"""We saw a misuse of tear gas, pepper spray, pepper balls, 40 millimeter impact rounds, basically every combination of less-lethal weapon being used in inappropriate ways,"" said Amnesty International weapons investigator Brian Castner.","""Wir sahen einen Missbrauch von Tränengas, Pfefferspray, Pfefferkugeln, 40-Millimeter-Einschlaggeschossen, praktisch jede Kombination von weniger tödlichen Waffen, die auf unangemessene Weise eingesetzt wurden"", sagte der Waffenermittler von Amnesty International, Brian Castner.","„Wir beobachteten den Missbrauch von Tränengas, Pfefferspray, Pfefferkugeln, 40-Millimeter-Geschossen, d.h. die zweckwidrige Verwendung praktisch aller weniger tödlichen Waffen“, berichtete Brian Castner, Waffenermittler von Amnesty International.",-1,-0.25943502882509867
2040,metricsystem5,cnbc.com.58093,5,157,rater8,"""We saw a misuse of tear gas, pepper spray, pepper balls, 40 millimeter impact rounds, basically every combination of less-lethal weapon being used in inappropriate ways,"" said Amnesty International weapons investigator Brian Castner.","“Wir haben einen Missbrauch von Tränengas, Pfefferspray, Pfefferkugeln, 40-Millimeter-Aufprallmunitionen gesehen, im Grunde jede Kombination von weniger tödlichen Waffen, die auf unangemessene Weise verwendet wurden”, sagte der Waffenermittler von Amnesty International, Brian Castner.","„Wir beobachteten den Missbrauch von Tränengas, Pfefferspray, Pfefferkugeln, 40-Millimeter-Geschossen, d.h. die zweckwidrige Verwendung praktisch aller weniger tödlichen Waffen“, berichtete Brian Castner, Waffenermittler von Amnesty International.",-2.1,-1.6319776916128357
2041,Facebook-AI,cnbc.com.58093,6,158,rater6,"Still, some insist that having options is important for avoiding the need for a firearm.","Dennoch bestehen einige darauf, dass es wichtig ist, Optionen zu haben, um die Notwendigkeit einer Schusswaffe zu vermeiden.","Dennoch bestehen Einige darauf, dass es wichtig ist, andere Optionen zu haben, um den Gebrach von Feuerwaffen zu vermeiden.",0,0.6319180223880377
2042,HuaweiTSC,cnbc.com.58093,6,158,rater4,"Still, some insist that having options is important for avoiding the need for a firearm.","Dennoch bestehen einige darauf, dass es wichtig ist, Optionen zu haben, um die Notwendigkeit einer Schusswaffe zu vermeiden.","Dennoch bestehen Einige darauf, dass es wichtig ist, andere Optionen zu haben, um den Gebrach von Feuerwaffen zu vermeiden.",-1,0.282723265292386
2043,Nemo,cnbc.com.58093,6,158,rater4,"Still, some insist that having options is important for avoiding the need for a firearm.","Dennoch bestehen einige darauf, dass es wichtig ist, Optionen zu haben, um die Notwendigkeit einer Schusswaffe zu vermeiden.","Dennoch bestehen Einige darauf, dass es wichtig ist, andere Optionen zu haben, um den Gebrach von Feuerwaffen zu vermeiden.",-1,0.282723265292386
2044,Online-W,cnbc.com.58093,6,158,rater11,"Still, some insist that having options is important for avoiding the need for a firearm.","Dennoch bestehen einige darauf, dass es wichtig ist, Optionen zu haben, um die Notwendigkeit einer Schusswaffe zu vermeiden.","Dennoch bestehen Einige darauf, dass es wichtig ist, andere Optionen zu haben, um den Gebrach von Feuerwaffen zu vermeiden.",0,0.6970675701829652
2045,UEdin,cnbc.com.58093,6,158,rater1,"Still, some insist that having options is important for avoiding the need for a firearm.","Dennoch bestehen einige darauf, dass es wichtig ist, Optionen zu haben, um die Notwendigkeit einer Schusswaffe zu vermeiden.","Dennoch bestehen Einige darauf, dass es wichtig ist, andere Optionen zu haben, um den Gebrach von Feuerwaffen zu vermeiden.",0,0.31342974724568423
2046,VolcTrans-AT,cnbc.com.58093,6,158,rater2,"Still, some insist that having options is important for avoiding the need for a firearm.","Dennoch bestehen einige darauf, dass es wichtig ist, Optionen zu haben, um die Notwendigkeit einer Schusswaffe zu vermeiden.","Dennoch bestehen Einige darauf, dass es wichtig ist, andere Optionen zu haben, um den Gebrach von Feuerwaffen zu vermeiden.",0,0.5824308458428316
2047,VolcTrans-GLAT,cnbc.com.58093,6,158,rater6,"Still, some insist that having options is important for avoiding the need for a firearm.","Dennoch bestehen einige darauf, dass es wichtig ist, Optionen zu haben, um die Notwendigkeit einer Schusswaffe zu vermeiden.","Dennoch bestehen Einige darauf, dass es wichtig ist, andere Optionen zu haben, um den Gebrach von Feuerwaffen zu vermeiden.",-1,-0.25943502882509867
2048,eTranslation,cnbc.com.58093,6,158,rater1,"Still, some insist that having options is important for avoiding the need for a firearm.","Dennoch bestehen einige darauf, dass es wichtig ist, Optionen zu haben, um die Notwendigkeit einer Schusswaffe zu vermeiden.","Dennoch bestehen Einige darauf, dass es wichtig ist, andere Optionen zu haben, um den Gebrach von Feuerwaffen zu vermeiden.",0,0.31342974724568423
2049,metricsystem1,cnbc.com.58093,6,158,rater7,"Still, some insist that having options is important for avoiding the need for a firearm.","Dennoch bestehen einige darauf, dass es wichtig ist, Optionen zu haben, um die Notwendigkeit einer Schusswaffe zu vermeiden.","Dennoch bestehen Einige darauf, dass es wichtig ist, andere Optionen zu haben, um den Gebrach von Feuerwaffen zu vermeiden.",-1,0.829458169009474
2050,metricsystem2,cnbc.com.58093,6,158,rater12,"Still, some insist that having options is important for avoiding the need for a firearm.","Einige bestehen jedoch darauf, dass Optionen wichtig sind, um die Notwendigkeit einer Schusswaffe zu vermeiden.","Dennoch bestehen Einige darauf, dass es wichtig ist, andere Optionen zu haben, um den Gebrach von Feuerwaffen zu vermeiden.",-1,0.32786813318852326
2051,metricsystem3,cnbc.com.58093,6,158,rater12,"Still, some insist that having options is important for avoiding the need for a firearm.","Dennoch bestehen einige darauf, dass Optionen wichtig sind, um die Notwendigkeit einer Schusswaffe zu vermeiden.","Dennoch bestehen Einige darauf, dass es wichtig ist, andere Optionen zu haben, um den Gebrach von Feuerwaffen zu vermeiden.",0,0.6709260738824433
2052,metricsystem4,cnbc.com.58093,6,158,rater4,"Still, some insist that having options is important for avoiding the need for a firearm.","Dennoch bestehen einige darauf, dass es wichtig ist, Optionen zu haben, um die Notwendigkeit einer Schusswaffe zu vermeiden.","Dennoch bestehen Einige darauf, dass es wichtig ist, andere Optionen zu haben, um den Gebrach von Feuerwaffen zu vermeiden.",-1,0.282723265292386
2053,metricsystem5,cnbc.com.58093,6,158,rater10,"Still, some insist that having options is important for avoiding the need for a firearm.","Dennoch bestehen einige darauf, dass es wichtig ist, Optionen zu haben, um die Notwendigkeit einer Schusswaffe zu vermeiden.","Dennoch bestehen Einige darauf, dass es wichtig ist, andere Optionen zu haben, um den Gebrach von Feuerwaffen zu vermeiden.",0,0.6880714609108152
2054,Facebook-AI,cnbc.com.58093,7,159,rater6,"""All of these devices should be at hand for the cops to use other than deadly physical force being used by a firearm because it's the only profession in America where the citizens give you the right to take your life,"" said Corey Pegues, former New York Police Department Deputy Inspector.","„Alle diese Geräte sollten zur Hand sein, damit die Polizisten andere als tödliche körperliche Gewalt mit einer Schusswaffe anwenden können, denn es ist der einzige Beruf in Amerika, in dem die Bürger Ihnen das Recht geben, sich das Leben zu nehmen“, sagte Corey Pegues, ehemaliger stellvertretender Inspektor der New Yorker Polizei.","„All diese Hilfsmittel sollten den Polizisten zur Verfügung stehen, um die tödliche körperliche Gewalt durch den Gebrauch einer Schusswaffe zu vermeiden, denn es ist der einzige Beruf in Amerika, bei dem der Bürger dir das Recht einräumt, ihm sein Leben zu nehmen,“ erklärte Corey Pegues, ehemaliger stellvertretender Inspektor der New Yorker Polizei.",-2,-1.1507880800382353
2055,HuaweiTSC,cnbc.com.58093,7,159,rater4,"""All of these devices should be at hand for the cops to use other than deadly physical force being used by a firearm because it's the only profession in America where the citizens give you the right to take your life,"" said Corey Pegues, former New York Police Department Deputy Inspector.","„All diese Geräte sollten den Bullen zur Verfügung stehen, um andere als tödliche physische Gewalt anzuwenden, die von einer Schusswaffe angewendet wird, weil es der einzige Beruf in Amerika ist, in dem die Bürger Ihnen das Recht geben, sich das Leben zu nehmen“, sagte Corey Pegues, ehemaliger stellvertretender Inspektor des New Yorker Polizeidezernats.","„All diese Hilfsmittel sollten den Polizisten zur Verfügung stehen, um die tödliche körperliche Gewalt durch den Gebrauch einer Schusswaffe zu vermeiden, denn es ist der einzige Beruf in Amerika, bei dem der Bürger dir das Recht einräumt, ihm sein Leben zu nehmen,“ erklärte Corey Pegues, ehemaliger stellvertretender Inspektor der New Yorker Polizei.",-7,-2.205935978837112
2056,Nemo,cnbc.com.58093,7,159,rater4,"""All of these devices should be at hand for the cops to use other than deadly physical force being used by a firearm because it's the only profession in America where the citizens give you the right to take your life,"" said Corey Pegues, former New York Police Department Deputy Inspector.","„All diese Geräte sollten den Polizisten zur Verfügung stehen, um andere als tödliche körperliche Gewalt anzuwenden, die von einer Schusswaffe verwendet wird, weil es der einzige Beruf in Amerika ist, in dem die Bürger einem das Recht geben, sich das Leben zu nehmen“, sagte Corey Pegues, ehemaliger stellvertretender Inspektor der New Yorker Polizei.","„All diese Hilfsmittel sollten den Polizisten zur Verfügung stehen, um die tödliche körperliche Gewalt durch den Gebrauch einer Schusswaffe zu vermeiden, denn es ist der einzige Beruf in Amerika, bei dem der Bürger dir das Recht einräumt, ihm sein Leben zu nehmen,“ erklärte Corey Pegues, ehemaliger stellvertretender Inspektor der New Yorker Polizei.",-6,-1.7911594381488625
2057,Online-W,cnbc.com.58093,7,159,rater11,"""All of these devices should be at hand for the cops to use other than deadly physical force being used by a firearm because it's the only profession in America where the citizens give you the right to take your life,"" said Corey Pegues, former New York Police Department Deputy Inspector.","""Alle diese Geräte sollten den Polizisten zur Verfügung stehen, um andere als tödliche physische Gewalt durch eine Schusswaffe anzuwenden, weil es der einzige Beruf in Amerika ist, bei dem die Bürger Ihnen das Recht geben, sich das Leben zu nehmen"", sagte Corey Pegues, ehemaliger stellvertretender Inspektor des New York Police Department.","„All diese Hilfsmittel sollten den Polizisten zur Verfügung stehen, um die tödliche körperliche Gewalt durch den Gebrauch einer Schusswaffe zu vermeiden, denn es ist der einzige Beruf in Amerika, bei dem der Bürger dir das Recht einräumt, ihm sein Leben zu nehmen,“ erklärte Corey Pegues, ehemaliger stellvertretender Inspektor der New Yorker Polizei.",0,0.6970675701829652
2058,UEdin,cnbc.com.58093,7,159,rater1,"""All of these devices should be at hand for the cops to use other than deadly physical force being used by a firearm because it's the only profession in America where the citizens give you the right to take your life,"" said Corey Pegues, former New York Police Department Deputy Inspector.","„Alle diese Geräte sollten zur Hand sein, damit die Bullen andere als tödliche physische Gewalt anwenden können, die von einer Schusswaffe verwendet wird, denn es ist der einzige Beruf in Amerika, bei dem die Bürger Ihnen das Recht geben, sich das Leben zu nehmen“, sagte Corey Pegues, ehemaliger stellvertretender Inspektor der New Yorker Polizeibehörde.","„All diese Hilfsmittel sollten den Polizisten zur Verfügung stehen, um die tödliche körperliche Gewalt durch den Gebrauch einer Schusswaffe zu vermeiden, denn es ist der einzige Beruf in Amerika, bei dem der Bürger dir das Recht einräumt, ihm sein Leben zu nehmen,“ erklärte Corey Pegues, ehemaliger stellvertretender Inspektor der New Yorker Polizei.",0,0.31342974724568423
2059,VolcTrans-AT,cnbc.com.58093,7,159,rater2,"""All of these devices should be at hand for the cops to use other than deadly physical force being used by a firearm because it's the only profession in America where the citizens give you the right to take your life,"" said Corey Pegues, former New York Police Department Deputy Inspector.","„All diese Geräte sollten zur Hand sein, damit die Polizisten andere als tödliche physische Gewalt anwenden können, die von einer Schusswaffe angewendet wird, weil es der einzige Beruf in Amerika ist, in dem die Bürger Ihnen das Recht geben, sich das Leben zu nehmen“, sagte Corey Pegues, ehemaliger stellvertretender Inspektor des New York Police Department.","„All diese Hilfsmittel sollten den Polizisten zur Verfügung stehen, um die tödliche körperliche Gewalt durch den Gebrauch einer Schusswaffe zu vermeiden, denn es ist der einzige Beruf in Amerika, bei dem der Bürger dir das Recht einräumt, ihm sein Leben zu nehmen,“ erklärte Corey Pegues, ehemaliger stellvertretender Inspektor der New Yorker Polizei.",-2,0.15295298699061036
2060,VolcTrans-GLAT,cnbc.com.58093,7,159,rater6,"""All of these devices should be at hand for the cops to use other than deadly physical force being used by a firearm because it's the only profession in America where the citizens give you the right to take your life,"" said Corey Pegues, former New York Police Department Deputy Inspector.","„Alle diese Geräte sollten den Polizisten zur Verfügung stehen, um andere als tödliche physische Gewalt durch eine Schusswaffe anzuwenden, weil es der einzige Beruf in Amerika ist, bei dem die Bürger Ihnen das Recht geben, sich das Leben zu nehmen“, sagte Corey Pegues, ehemaliger stellvertretender Inspektor des New York Police Department.","„All diese Hilfsmittel sollten den Polizisten zur Verfügung stehen, um die tödliche körperliche Gewalt durch den Gebrauch einer Schusswaffe zu vermeiden, denn es ist der einzige Beruf in Amerika, bei dem der Bürger dir das Recht einräumt, ihm sein Leben zu nehmen,“ erklärte Corey Pegues, ehemaliger stellvertretender Inspektor der New Yorker Polizei.",-2,-1.1507880800382353
2061,eTranslation,cnbc.com.58093,7,159,rater1,"""All of these devices should be at hand for the cops to use other than deadly physical force being used by a firearm because it's the only profession in America where the citizens give you the right to take your life,"" said Corey Pegues, former New York Police Department Deputy Inspector.","„Alle diese Geräte sollten den Bullen zur Verfügung stehen, um andere als tödliche physische Gewalt anzuwenden, die von einer Schusswaffe verwendet wird, weil dies der einzige Beruf in Amerika ist, in dem die Bürger Ihnen das Recht geben, sich das Leben zu nehmen“, sagte Corey Pegues, ehemaliger stellvertretender Inspektor des New York Police Department.","„All diese Hilfsmittel sollten den Polizisten zur Verfügung stehen, um die tödliche körperliche Gewalt durch den Gebrauch einer Schusswaffe zu vermeiden, denn es ist der einzige Beruf in Amerika, bei dem der Bürger dir das Recht einräumt, ihm sein Leben zu nehmen,“ erklärte Corey Pegues, ehemaliger stellvertretender Inspektor der New Yorker Polizei.",-7,-4.053583045451464
2062,metricsystem1,cnbc.com.58093,7,159,rater13,"""All of these devices should be at hand for the cops to use other than deadly physical force being used by a firearm because it's the only profession in America where the citizens give you the right to take your life,"" said Corey Pegues, former New York Police Department Deputy Inspector.","„All diese Geräte sollten den Polizisten zur Verfügung stehen, um andere als tödliche physische Gewalt anzuwenden, die von einer Schusswaffe verwendet wird, weil es der einzige Beruf in Amerika ist, in dem die Bürger einem das Recht geben, sich das Leben zu nehmen“, sagte Corey Pegues, ehemaliger stellvertretender Inspektor der New Yorker Polizei.","„All diese Hilfsmittel sollten den Polizisten zur Verfügung stehen, um die tödliche körperliche Gewalt durch den Gebrauch einer Schusswaffe zu vermeiden, denn es ist der einzige Beruf in Amerika, bei dem der Bürger dir das Recht einräumt, ihm sein Leben zu nehmen,“ erklärte Corey Pegues, ehemaliger stellvertretender Inspektor der New Yorker Polizei.",-5,-0.27298668897020095
2063,metricsystem2,cnbc.com.58093,7,159,rater12,"""All of these devices should be at hand for the cops to use other than deadly physical force being used by a firearm because it's the only profession in America where the citizens give you the right to take your life,"" said Corey Pegues, former New York Police Department Deputy Inspector.","""Alle diese Geräte sollten zur Hand sein, damit die Polizei andere als tödliche physische Gewalt anwenden kann, die von einer Schusswaffe angewendet wird, da dies der einzige Beruf in Amerika ist, in dem die Bürger Ihnen das Recht geben, sich das Leben zu nehmen"", sagte Corey Pegues, ehemaliger stellvertretender Inspektor der New Yorker Polizeibehörde.","„All diese Hilfsmittel sollten den Polizisten zur Verfügung stehen, um die tödliche körperliche Gewalt durch den Gebrauch einer Schusswaffe zu vermeiden, denn es ist der einzige Beruf in Amerika, bei dem der Bürger dir das Recht einräumt, ihm sein Leben zu nehmen,“ erklärte Corey Pegues, ehemaliger stellvertretender Inspektor der New Yorker Polizei.",-5,-1.0443636295871568
